experiment_id;sample;sequence;sent_at_ms;rtt_ms;srtt_ms;status
delay_100;18;18;5293.933;103.649;108.968;received
delay_100;19;19;5604.571;101.661;108.054;received
delay_100;20;20;5916.367;110.027;108.301;received
delay_100;21;21;6223.729;119.910;109.752;received
delay_100;22;22;6532.512;109.140;109.676;received
delay_100;23;23;6846.431;107.959;109.461;received
delay_100;24;24;7149.417;106.330;109.070;received
delay_100;25;25;7461.302;115.711;109.900;received
delay_100;26;26;7764.213;108.025;109.665;received
delay_100;27;27;8067.351;109.802;109.683;received
delay_100;28;28;8372.508;115.490;110.408;received
delay_100;29;29;8686.414;115.384;111.030;received
delay_100;30;30;8988.980;106.367;110.447;received
delay_100;31;31;9292.658;113.962;110.887;received
delay_100;32;32;9603.314;105.393;110.200;received
delay_100;33;33;9919.190;105.794;109.649;received
delay_100;34;34;10220.693;106.976;109.315;received
delay_100;35;35;10525.523;105.845;108.881;received
delay_100;36;36;10829.348;108.076;108.781;received
delay_100;37;37;11130.646;114.957;109.553;received
delay_100;38;38;11433.515;106.424;109.162;received
delay_100;39;39;11737.947;111.090;109.403;received
delay_100;40;40;12046.358;105.551;108.921;received
delay_100;41;41;12358.064;107.154;108.700;received
delay_100;42;42;12670.192;113.131;109.254;received
delay_100;43;43;12973.035;105.778;108.820;received
delay_100;44;44;13276.460;107.552;108.661;received
delay_100;45;45;13587.744;106.217;108.356;received
delay_100;46;46;13890.218;105.797;108.036;received
delay_100;47;47;14198.700;100.548;107.100;received
delay_100;48;48;14500.481;107.762;107.183;received
delay_100;49;49;14812.195;102.842;106.640;received
delay_100;50;50;15128.020;108.890;106.921;received
jitter;1;1;0.723;124.897;124.897;received
jitter;2;2;319.712;89.948;120.528;received
jitter;3;3;625.911;133.261;122.120;received
jitter;4;4;935.117;76.326;116.396;received
jitter;5;5;1241.756;78.029;111.600;received
jitter;6;6;1545.589;70.014;106.402;received
jitter;7;7;1862.229;159.017;112.979;received
jitter;8;8;2165.668;83.147;109.250;received
jitter;9;9;2469.194;84.472;106.152;received
jitter;10;10;2775.091;84.363;103.429;received
jitter;11;11;3088.730;56.941;97.618;received
jitter;12;12;3405.988;81.226;95.569;received
jitter;13;13;3705.689;81.561;93.818;received
jitter;14;14;4009.249;139.206;99.491;received
jitter;15;15;4321.920;140.687;104.641;received
jitter;16;16;4629.121;140.142;109.078;received
jitter;17;17;4932.202;149.863;114.177;received
jitter;18;18;5232.487;99.410;112.331;received
jitter;19;19;5536.725;107.270;111.698;received
jitter;20;20;5842.770;131.780;114.208;received
jitter;21;21;6153.638;157.469;119.616;received
jitter;22;22;6460.082;106.913;118.028;received
jitter;23;23;6762.813;115.627;117.728;received
jitter;24;24;7068.065;82.921;113.377;received
jitter;25;25;7374.591;110.076;112.964;received
jitter;26;26;7677.584;147.732;117.310;received
jitter;27;27;7988.707;148.554;121.216;received
jitter;28;28;8289.930;124.293;121.600;received
